Year,Frequency,On Cover
2020,3,Male Athletes/Coaches
2020,0,Other Men
2020,1,Female Athletes/Coaches
2020,4,Female Swimsuit Models
2020,0,Other Women
2020,2,No People
2019,17,Male Athletes/Coaches
2019,0,Other Men
2019,11,Female Athletes/Coaches
2019,2,Female Swimsuit Models
2019,0,Other Women
2019,0,No People
2018,31,Male Athletes/Coaches
2018,0,Other Men
2018,3,Female Athletes/Coaches
2018,1,Female Swimsuit Models
2018,0,Other Women
2018,0,No People
2017,35,Male Athletes/Coaches
2017,0,Other Men
2017,3,Female Athletes/Coaches
2017,3,Female Swimsuit Models
2017,0,Other Women
2017,2,No People
2016,70,Male Athletes/Coaches
2016,3,Other Men
2016,5,Female Athletes/Coaches
2016,2,Female Swimsuit Models
2016,1,Other Women
2016,0,No People
2015,45,Male Athletes/Coaches
2015,0,Other Men
2015,32,Female Athletes/Coaches
2015,1,Female Swimsuit Models
2015,0,Other Women
2015,2,No People
2014,108,Male Athletes/Coaches
2014,0,Other Men
2014,6,Female Athletes/Coaches
2014,2,Female Swimsuit Models
2014,2,Other Women
2014,3,No People
2013,108,Male Athletes/Coaches
2013,0,Other Men
2013,0,Female Athletes/Coaches
2013,2,Female Swimsuit Models
2013,2,Other Women
2013,1,No People
2012,71,Male Athletes/Coaches
2012,1,Other Men
2012,2,Female Athletes/Coaches
2012,1,Female Swimsuit Models
2012,1,Other Women
2012,4,No People
2011,80,Male Athletes/Coaches
2011,1,Other Men
2011,2,Female Athletes/Coaches
2011,1,Female Swimsuit Models
2011,0,Other Women
2011,1,No People
2010,81,Male Athletes/Coaches
2010,2,Other Men
2010,3,Female Athletes/Coaches
2010,1,Female Swimsuit Models
2010,0,Other Women
2010,1,No People